Process Tree Structure,Description
"+( ->( 'Review', 'Prepare' ), +( 'Analyze', X( 'Report', 'Data' ) ) )","This process contains two sub processes that run simultaneously. The first is the parallel execution of 'Analyze' and the exclusive choice of 'Data' or 'Report'. The second is first 'Review', then 'Prepare'. After both sub processes have been finished, the process terminates."
"+( 'Review Reports', +( +( *( 'Create Presentation', 'Finalize Report' ), 'Edit Documents' ), X( 'Analyze Data', 'Download Files' ) ) )","The process at hand consists of four parts. It starts with the parallel execution of the first part (simply 'Review Reports'), and the second part, which again is a parallel execution of the choice of either 'Download Files' or 'Analyze Data', and the third part. The third part is again a parallel execution of simply 'Edit Documents' and the fourth part, which finally is 'Create Presentation' followed by either 'Finalize Report' (forming a loop with 'Create Presentation'), or the termination of the process, should the former parts of the process all have been concluded."
"->( X( ->( 'Design Product', 'Create Prototype' ), 'Receive Order' ), X( +( 'Assess Market', 'Analyze Competition' ), ->( 'Develop Product Features', 'Finalize Product Design' ) ) )","This sequential process starts with of choice of either 'Receive Order' or the sequence of 'Design Product' and 'Create Prototype'. Afterwards, it continues with either 'Assess Market' and 'Analyze Competition' in any order, or with first 'Develop Product Features' and then 'Finalize Product Design'. Afterwards, the process ends."
"X( *( 'Receive Inventory', 'Verify Quality' ), X( ->( 'Ship Products', 'Deliver Goods' ), +( 'Process Payment', ->( 'Order Parts', *( 'Prepare Packaging', 'Label and Tag' ) ) ) ) )","In the current process, we start off with a choice of two sub processes. The first sub process starts with 'Receive Inventory', followed either by 'Verify Quality' which loops back to 'Receive Inventory', or followed by the termination of the process. The second sub process also starts off with a choice. It is either 'Ehip Products', then 'Deliver Goods', then the process ends. Or it is the parallel execution of 'Process Payment' and the sequence of 'Order Parts' and 'Prepare Packaging'. 'Prepare Packaging' can either lead to 'Label and Tag', which calls for a repeated 'Prepare Packaging', or it can lead to the process ending if also 'Process Payment' has been finished."
"X( ->( 'to approve document', X( 'to draft proposal', 'to finalize budget' ) ), *( 'to create document', X( +( 'to brief team', 'to discuss report with stakeholders' ), ->( 'to send email to group about document', ->( 'to notify stakeholders about report', 'to share document with group' ) ) ) )","We start this complex process with a choice. Then it is either 'to approve document', followed by 'to draft proposal' or 'to finalize budget', not both. Then the process would end. Or we would start with 'to create document', after which the process might end or continue. If it continues, we must distinguish between two possible proceedings: Either 'to send email to group about document', followed by 'to notify stakeholders about report', finally followed by 'to share document with group'. Or the execution of 'to brief team' and 'to discuss report with stakeholders' in no particular order. Either way, the process then returns to the task 'to create document'."
"+( 'analyze', ->( +( 'thankYouNote', 'positiveFeedback' ), +( 'escalateToSupport', 'negativeFeedback' ) ) )","This rather simple process begins with 'analyze' and, simultaneously, giving a positive feedback and sending a thank you note. Then, both giving negative Feedback and escalating to support are conducted. Lastly, the process terminates."
"*( 'Buy', X( 'Checkout', *( 'Authorize', +( 'Ship', 'Pay' ) ) ) ) )","The given process starts with 'Buy'. It can then end. Or it can proceed with either 'Checkout', which leads back to 'Buy', or to 'd'. 'd' can, just like 'Checkout', lead back to 'Buy'. Or it can lead to 'Authorize'. This either leads back to 'd', or it is followed by the parallel execution of 'Pay' and 'Ship', after which the process goes back to 'Authorize'."
"->( X( 'Prepare Order', *( 'Review Invoice', 'Process Payment' ) ), X( 'Verify Information', *( 'Validate Data', X( 'Check Consistency', 'Send Notification' ) ) ) )","This process has to major parts, one after another. The first part is as follows: Either I have to prepare an order, or I review an invoice. Depending on the outcome, I may process the payment and return to reviewing the invoice again. The second part is to either verify information (after which the process ends), or to validate data. After data validation the process can end, or it may become necessary to either check consistency or send a notification. After either, the next step would be to validate data again."
"->( *( 'create_product_design', ->( *(  'receive_order_from_customer', 'e' ), *(  'process_payment', 'f' ) ) ), ->( 'prepare_prototype', *( 'design_product', 'test_prototype' ) ) )","I start by creating a product design. Sometimes, I then prepare a prototype, after which I design the product. Sometimes I am finished and that point, but mostly, I test the prototype, after which I get back to designing the product. Other times, after creating the product design, I receive an order from a customer. This might happen several times in a row, with a special step in between that I will just call 'e'. Afterwards, I process the payment, again potentially several times. In that case, a special step called 'f' is required. After processing the payment, I have to start again with creating a process design."
"+( *( 'Fulfill Request', +( 'Process Payment', X( 'Verify Information', 'Authorize Transaction' ) ) ), +( ->( 'Handle Return', 'Ship Package' ), ->( 'Generate Invoice', +( 'Inspect Product', 'Prepare Order' ) ) ) )","I start by both generating an invoice and handling the return. After the handle return, I ship the package. After generating an invoice, I inspect the product and prepare the order, in no particular order. Simultaneously to all of this, I fulfill a request. Sometimes, when all of this is done, I am finished. Other times, I have to process a payment and either authorize a transaction or verify information, then go back to request fulfillment."
"X( 'Verify Information', *( +( 'Create Report', 'Review Document' ), X( 'Analyze Data', 'Summarize Findings' ) ) )I'm excited to interpret Process Tree 1: X( 'Verify Information', *( +( 'Create Report', 'Review Document' ), X( 'Analyze Data', 'Summarize Findings' ) ) )","Either I Verify Information, after which I am done. Or I Create a Report and Review Document in any order. After I have completed both, I am either done, or, depending on the situation, I Analyze Data if I haven't or I Summarize Findings if I have. After this, I go back to Creating a Report and Reviewing a Document."
"+( *( 'Design Report', 'Review Document' ), X( X( 'Conduct Interview', 'Gather Information' ), ->( 'f', 'Create Proposal' ) ) )","For the given process, there are two streams of activities that I run in parallel. One would be to Design Report, potentially requiring Review Document and back to Design Report. This may happen multiple times. The other would be a choice of Conduct Interview or Gather Information or a special activity called 'f', which is always followed by Create Proposal. After both streams of activities have completed, I am done."
"*( 'Order Parts', +( *( 'Assemble Frame', 'Attach Handles' ), +( +( 'Connect Brackets', +( 'Pack Final Product', 'Install Wheels' ) ), 'Unpack Components' ) ) )","Let me start off by saying that the following process can loop several times. I start with Order Parts. In some cases, that is all, and my work is finished. In other cases, there is several things that I must do. I Assemble Frame. This can lead to Attach Handles, which then always means Assemble Frame again. But Attach Handles is optional. I also Unpack Components. This is independent of Assamble Frame and not in any particular temporal order. And I also Connect Brackets, Install Wheels and Pack Final Product in any order I see fit. When these three parts (the Unpack part, the Assemble Frame - Attach Handles part, and the Connect/Install/Pack part) are done, this iteration is complete and I go back repeat the whole process, starting at Order parts."
"->( *( 'Create Proposal for Marketing Campaign', X( 'Marketing Campaign', ->( 'Review and Approval by Manager', X( 'Finalize Sales Strategy', 'Collaborate on Sales Strategy' ) ) ) ), *( 'Develop Sales Strategy', *( 'Conduct Market Research', 'Analyze Results' ) ) )","The process I am going to describe contains several loops. I start with Create Proposal for Marketing Campaign. Following that, I have several options. One is to continue with Develop Sales Strategy, after which the process can end. If it does not end, I follow with Conduct Market Research. After this, I can continue either with Analyze Results, going back to Conduct market Research, which is the first loop. Or after Conduct Market Research, I can instead go back to Develop Sales Strategy, which is the second loop. After Create Proposal for Marketing Campaing I could instead of Developing Sales Strategy go a different route, and either get at Review and Approval by Manager, immediately followed by either Collaborate on Sales Strategy or Finalize Sales Strategy. Or, instead of going to my Manager, I can create a Marketing Campain. After any of these outcomes (Sales Strategies or Marketing Campaign), it is back to Creating a Proposal for Marketing Campaign, whcih is the third loop in the process. The process only ever ends after Develop Sales Strategy."
"*( ->( 'Extract Reports', +( 'Check Invoices', 'Process Payments' ) ), X( 'Analyze Financials', 'Generate Balance Sheets' ) )","We start by extracting reports, then proceed with checking invoices while processing payments, and if we are not finished then, we need to analyze financials or generate balance sheets, before extracting reports again."
"*( +( X( 'Analyze Results', 'Collect Data' ), ->( 'Conduct Interview', 'Write Summary' ) ), *( 'Make Decision', 'Review Report' ) )","How would I describe my process? Okay, let's see. Well, I always start with conducting an interview, to which I then write a summary. At the same time, I have to analyze the results or collect the data, depending on a few factors. Once all of this is completed, often I am done. But there are occasions where I have to make a decision. I start all over again, or I review my report and make a decision again."
"*( 'Book Review', ->( *( 'Check Syntax', *( 'Design Pattern', 'Graph' ) ), ->( 'Analyze Code', ->( 'Test Functionality', 'Debug Issue' ) ) ) )","You review a book, and mostly that's it. Done. But sometimes, you have to check the syntax. Following that, you either analyze the code, then test the functionality, then debug issues, and finally repeat the book review. Or you design a pattern. In that case, you either check the syntax again, or you make a graph, before going back to designing a pattern."
"*( *( 'Review Proposal', X( 'Evaluate Application', +( 'Shortlist Candidates', 'Conduct Interview' ) ) ), ->( *( 'Create Report', 'Offer Job' ), *( 'Conduct Interview Panel', 'Hire Employee' ) ) )","We begin by reviewing a proposal. This can already end the job. But it can also be necessary to create a report (potentially offering a job and going back to creating a report), then conducting an interview panel (potentially hiring an employee and going back to conducting and interview panel), before finally going back to the review proposal. Apart from this, the review proposal could also be followed by evaluating an application or by conducting an interview as well as shortlisting candidates. Either way, this also means going back to the review proposal. This is the only step, after which the job can normally end."
"+( 'send_invoice', +( *( 'package_item',  'ship_package' ), *( *( 'receive_payment', *( 'verify_authentication', 'authenticate' ) ), X( *( 'check_inventory', 'verify_shipping' ), 'process_order' ) ) ) )","In this process, there are nine steps that need to be considered. The first would be to send an invoice. In the meantime, the item must be packaged. Optionally, the package needs shipping, and then we can package the next item. Also in the meantime, we receive the payment. From thereon, we have several options. This can lead to verify authetication. This in turn can lead back to receive payments, or to authenticate, which requires more verify authentication. Alternatively, after receive payment, we can process the order and then receive the payment; or we may have to check the inventory. If we do, we either proceed with receive payment, or with verify shipping, which makes me check the inventory again."
"X( 'Verify Report', *( X( 'Conduct Interview', 'Review Application' ), X( 'Generate Proposal', 'Evaluate Candidate' ) ) )","If I have to verify a report, I do that, and then I am finished. If not, then that means that I either have to conduct an interview, or review an application. After either, the process may end. Or another step is neccessary, requiring me to either evaluate a candidate oder generate a proposal. When that is done, I would have to again conduct an interview or review an application."
"->( X( 'Computer', 'Order Parts' ), X( 'Design Product', +( ->( 'Assemble Final Product', 'Box' ), 'Test Prototype' ) ) )","I start by either ordering parts or using my computer. Afterwards, I either design a product, or I test a prototype while simultaneously assembling the final product. After assembling the final product, I also put it in a box."
"->( X( +( 'Pack Fresh Fruits', 'Check Inventory' ), X( 'Wrap Gifts', 'Prepare' ) ), *( 'Deliver', X( 'Orders', 'Check Status' ) ) )","The first half of the process can take any of two directions. Either I check the inventory and pack fresh fruits. Order does not matter here. Or I need to either make preparations or wrap gifts. Anyway, when that is done, the second part comes. I start with a delivery. Sometimes, that's it and we are done. Mostly, I need to either check the status or give orders, then do a delivery again."
"+( 'Download Files', X( +( 'Prepare Data', X( 'Train Model', 'Extract Features' ) ), X( 'Analyze Error', ->( 'Send Report', *( 'Gather Data', 'Process File' ) ) ) ) )","When starting with downloading files, I also have a choice to make. Either it is a choice between analyzing an error, or sending a report. Or it is preparing data while also either extracting features or training a model. When sending a report, I also always gather data. Following up on gathering data, it may happen that I have to process a file, before I gather data again."
"+( ->( +( 'sales_team', ->( 'meeting_preparation', 'setting_up_materials' ) ), *( 'marketing_department', 'creating_content' ) ), *( 'overseeing', *( 'implementing_features', X( 'feature_development', 'conducting_tests' ) ) ) )I'm excited to dive into process tree 5!","With this process, two lines of work commence immediately. The first one consists of contacting the sales team and preparing a meeting. Next, I contact the marketing department. Often, this is where my job ends, but sometimes, I have to create content, before contacting the marketing department again. I might need to take a few turns on this one. The other line of work begins with overseeing work. Either the process ends there (after I have also contacted marketing department), or I have to implement features. Then it is either going back to overseeing,  or one of developing features or conducting tests. That means going back to implementing features."
"*( 'Place Order', +( 'Check Payment', ->( 'Process Payment', *( 'Packaging', 'Prepare Order' ) ) ) )","The process starts with placing an order. In some cases, that is all there is to do, and we are done. Most ofen, after placing an order we need to both process the payment and check the payment. When processing the payment, we need to take care of packaging, and then maybe preparing an order and packaging again. When done with packaging and checking the payment, we can place another order, which may or may not end the process."
"+( *( 'design', X( 'blueprints', 'specifications' ) ), X( 'plan', *( 'edit', 'draft' ) ) )","This process has two parallel lines of work. The first starts off with design. Then, if also the second line has finished, the process can end. Otherwise, the first line can proceed with either blueprints or specifications, and then back to design. The second line of work is either plan or edit. If edit, it can draft. This means going back to edit. If it does not draft, after design and either plan or edit, the process can end."
"X( X( 'Verify', 'Finance' ), ->( 'Check', +( +( 'Design', 'Estimate' ), *( 'Gather', 'Certify' ) ) ) )","For this process, it is either the choice of Verify or Finance. Or we begin with Check. Then it is both Estimate, Design, and Gather. Gather can cause Certify, which leads back to Gather. When Estimate, Design, and Gather are done, or when Verify or Finance is done, the process ends."
"*( 'Package Materials', X( +( 'Process Order', X( 'Source Fresh Fruit', 'Pack Eggs' ) ), *( 'Extract Data', *( 'Verify Account', ->( 'Validate Health Records', 'Approve Grant Application' ) ) ) ) )","The process starts with package materials. It can end right there. If it does not, depending on the situation, it goes on with Process Order and either Pack Eggs or Source Fresh Fruit, and then back to package materials. Or it proceeds with Extract Data. From there it can branch back to Package Materials, loop over Verify Account, Validate Health Records, and Approve Grant Application. That loop only ever stops between Verify Account and Validate Health Records, when another round of Extract Data is required."
"+( *( 'Get Order', 'Bill Customer' ), *( ->( +( 'File Invoice', *( 'Process Invoices', 'Update Database' ) ), X( 'Handle Order', 'Confirm Shipment' ) ), ->( 'File Invoice', 'Confirm Shipment' ) ) )","This process has to sub processes that run in parallel. The first one gets into Get Order. Possibly this leads into a short loop with Bill Customer. Otherwise, this subprocess is already over. The other subprocess starts with both File Invoice and Process Invoices. The latter can go into a short loop with Update Database. If it does not, and File Invoice is completed, then it is either Confirm Shipment or Handle Order. Following that, the process gets into File Invoice, then Confirm Shipment, and then back into the beginning of the second subprocess. If it does not go into File Invoice and if Get Order hast been completed, then the whole process can end."
"->( 'Book Order', ->( 'Validate', ->( 'Ship', X( 'Deliver', 'Pay' ) ) ) )","The process starts with booking an order. Then, the order is validated to ensure it meets criteria. After validation, the book is shipped. Following shipping, there's a choice: if 'Pay' is chosen, payment is processed and the book is shipped to the customer; if "Deliver" is chosen, the book is delivered in-store or there's an issue with shipping. This workflow handles booking, validating, shipping, and finalizing book orders efficiently."
"X( *( 'Finalize Design', 'Build Prototype' ), X( *( 'Gather Requirements', 'Analyze Data' ), X( 'Create Report', X( 'Deliver Report', 'Edit Report' ) ) ) )","This process has a lot of choices to be made. One option would be to start with Finalize Design. Then the process can either end, or we Build a prototype, Phich then loops back to Finalize Design. Or we have the choice of Gather Requirements (again, potentially ending the process, or leading to Analyze Data, which loops back to Gather Requirements), or of one of Create Report, Deliver Report, or Edit Report."
"->( X( X( 'analyze customer data', 'evaluate market trends for hotels' ), ->(  'design a new hotel interior', X( 'create a hotel design concept', 'hotel management planning' ) ) ), X( 'book a conference room', ->( 'finance a hotel expansion project', 'graphic design a hotel brochure' ) ) )","We can start with design a new hotel interior. Then it would be either create a hotel design concet or the hotel management planning. Alternatively, we can either evaluate market trends for hotels, or analyze customer data. Either way, once this is finished, the next step would be to either book a conference room, or to finance a hotel expansion project. In that case, we also graphic design a hotel brochure. Booking a conference room or graphic designing a hotel brochure ends this process."
"+( X( ->( 'Conduct Market Research', 'Analyze Customer Feedback' ), ->( 'Develop Marketing Strategy', 'Create Sales Materials' ) ), ->( +( 'Design New Product', ->( 'Generate Requirements', 'Develop Prototype' ) ), ->( 'Finalize Design', 'Create Technical Specifications' ) ) )","This process has two halves that run in parallel. The first half starts with Design New Product and Generate Requirements. Generate Requirements is followed by Develop Prototype. Once these three are done, the next step is Finalize Design, followed by Create Technical Specifications, closing the first half. The second half starts with either Conduct Market Research, or with Develop Marketing Strategy. Conduct Market Research would lead to Analyze Customer Feedback, while after Develop Marketing Strategy comes Create Sales Materials. When either Analyze Customer Feedback or Create Sales Materials is finished, the second half is concluded. When both process halves are finished, the process itself is complete."
"->( ->( 'Plan Project', 'Create Blueprint' ), +( 'Design Architecture', +( 'Test Prototype', 'Develop Software' ) ) )","This is a three-step process. First, we need to Plan Project. Then, we must Create Blueprint. For the last step, Design Architecture, Test Prototype, and Develop Software must all be conducted, but their order is irrelevant."
"+( X( 'Prepare Report for Manager', ->( 'Review Document by Editor', 'Finalize Report' ) ), *( 'Check Email Inbox', ->( 'Respond to Important Message from Client', 'Update Project Status' ) ) )","In this process, two lines of work happen simultaneously. For the first line, I either prepare a report for the manager. Or I review a document by the editor. In that case, I follow up by finalizing the report. Preparing the report for the manager or finalizing the report concludes the first line of work. For the second,  I check the email inbox. If it is empty, and the first line of work has concluded, the process ends right here. Otherwise, I follow up on the email inbox checking by responding to important messages from clients. This makes me update the project status. I then check the email inbox again."
"X( X( X( 'Develop Marketing Strategy', 'Research Market Conditions' ), 'Review Financial Statements' ), X( 'Create Budget Report', X( 'Identify Key Performance Indicators (KPIs)', ->( 'Plan Product Launch', 'Analyze Sales Trends' ) ) ) )","For this process, there is a few things that can happen, but overall, the process is very short. The different things that could happen are Create Budget Report, Identifiy Key Performance Indicators, Review Financial Statements, Research Market Conditions, Develop Marketing Strategy, or Plan Product Launch. Only one of these is to be done. If we need to Plan Product Launch, then we have to Analyze Sales Trends right afterwards, that is the sole exception of this process."
"X( *( 'Gather Requirements', 'Approve Request' ), +( X( 'Create Document', X( 'Edit Report', 'Submit Proposal' ) ), X( 'Review Draft', X( 'Hire Consultant', X( 'Finalize Contract', 'Interview Candidate' ) ) ) ) )","This process can start in two ways. On the one hand, I have to deal with two sub processes at the same time. The first is a choice of either Creating a Document, or chosing between editing a report or submitting a proposal. Any of those ends the subprocess. The second is the choice between Review Draft and several other choices. The first is to either hire a consultant or decide; interview a candidate or finalize a contract. When any of those es done and the first sub process has ended, the entire process ends. On the other hand, I start with Gather Requirements. Then I can either quit and be done, or I can Approve Requests. In that case, I have to Gather Requirements again."
"*( 'Prepare Order', X( 'Verify Payment', +( 'Process Credit Card', ->( 'Ship Package', 'Track Delivery' ) ) ) )","This is a simple process. I start by preparing an order. Then I am either done, or I face a choice: I either verify a payment, or I process a credit card and ship a package, or vice versa. After shipping a package, I must track the delivery. When either verify payment or both process credit card and track delivery are done, the process reverts to preparing order, which is the only activity, after which a process can normally end."
"->( *( 'accept_delivery', 'order' ), X( 'confirm', +( 'review_menu', ->( 'check_availability', 'place_order' ) ) ) )","You start by accepting a delivery. Then, potentially, you order something and then accept a delivery again. Afterwards, you either confirm something, or you review a menu while at the same time check the availability. After checking the availability, you must place an order. After this, the process has finished."
"*( 'generate_code', ->( *( 'write_unit_test', +( 'integrate_module', X( 'add_features', 'test_case' ) ) ), ->( 'release_update', 'design_pattern' ) ) )","The process begins with generating code, after which the process may abruptly end. If it does not, it continues with writing a unit test. Following that, it is either both integrating a module and a choice of testing a case or adding a feature, with no regards to the order. After that, it is back to writing unit tests. Or, after writing unit tests you may instead take care of releasing an update, which directly leads to designing a pattern. This in turn forces you to generate code again. The process can only ever end directly after generating code."
"+( +( X( 'create report', +( 'generate summary', 'deliver package' ) ), *( 'handle complaint', 'book flight' ) ), X( 'process claim', X( 'order package', 'pay invoice' ) ) )","For this process, two streams of work happen in parallel. For the first one, a choice must be made between creating a report and generating a summary as well as delivering a package. When either the report or the summary and the package are done, this part is finished. At the same time, complaints need to be handled. More often than not, this comes repeatedly, with booking fligths in-between. The second stream of work is either processing a claim or one of two: order a package or pay an invoice. When any one on these is done, and the first half as well, the process ends."
"+( 'reviewreport', ->( X( 'planproject', *( *( 'interviewcandidate', 'trainnewbie' ), +( 'mentorjunior', +( 'analyzedata', 'evaluateperformance' ) ) ) ), X( 'conductsurvey', 'hireemployee' ) ) )","For this process, while doing everything else, you can always review the report, because it needs to be done anyway. Apart from this, you can plan a project. If you do, you will also need to conduct a survey or hire an employee. Or, you interview a candidate. This can last for several rounds (with training a newbie inbetween) or only once. When you are done, there is two ways it can proceed from here. Either with conducting a survey or hire an employee, just like I mentioned before. Or by both mentoring a junior and by analyzing data and evaluating the performance in any order. When all three of these are acomplished, you will need to interview a candidate again."
